word1, word2, weight
weekend, party, 16
zit, spot, 16
drum, line, 6
hole, spot, 1
masher, party, 1
political, grim, 1
mm, cheese, 1
melting, cheese, 6
planning, party, 5
throat, gullt, 1
number, line, 1
unreal, dream, 3
buffy, loser, 1
marble, cake, 5
democratic, party, 20
warning, light, 5
sentence, line, 3
line, up, 10
search, party, 3
staff, party, 2
flat, line, 6
byproduct, cheese, 1
employment, line, 1
party, face, 1
break, bones, 2
dork, loser, 3
burning, sore, 1
snack, cake, 4
make, cake, 5
ranchero, cheese, 1
streets, day, 1
topless, party, 2
gray, day, 2
star, light, 17
spot, check, 2
occasion, party, 19
energy, light, 7
almond, cake, 5
muscles, sore, 4
political, question, 1
daddy, loser, 1
engagement, party, 17
dots, spot, 1
light, shine, 3
spark, light, 8
cook, cheese, 1
craze, party, 1
mixture, cake, 21
save, day, 1
opposite, day, 7
crave, cheese, 1
clear, day, 11
school, day, 6
cinnamon, cake, 1
absorbtion, party, 1
spoiler, loser, 1
party, drinking, 1
break, room, 2
platformer, cheese, 1
helium, light, 4
sight, light, 5
everybody, party, 1
nights, party, 2
wedding, day, 7
political, problems, 1
nile, line, 1
barbecue, party, 2
sorrow, day, 1
wrinkle, line, 1
cheese, biscuits, 2
day, month, 1
suprise, yay, 1
poverty, line, 5
page, break, 1
next, line, 5
momma, cheese, 1
diner, party, 2
flare, light, 9
party, pooper, 11
poll, light, 1
hamburger, cheese, 14
graph, line, 14
wed, day, 2
sunny, day, 63
cheese, gromit, 3
string, cheese, 14
mousse, cake, 3
think, dream, 1
sore, bum, 2
party, booze, 4
silt, throat, 2
light, sun, 10
cosy, cottage, 3
dinner, party, 6
break, bend, 1
sunburn, sore, 1
cheese, mouse, 10
monger, cheese, 1
lane, line, 3
tag, line, 7
breakable, break, 2
irritation, sore, 2
mario, party, 2
day, sau, 1
victoria, day, 3
pity, loser, 2
greer, cheese, 1
ultra, light, 8
signature, line, 5
broccoli, cheese, 11
sparkles, cake, 3
crocker, cake, 1
male, loser, 1
pilot, light, 8
long, day, 3
ordinary, day, 7
strings, cheese, 2
kevin, loser, 1
dalmations, spot, 2
suprise, misspelling, 1
rounds, cheese, 1
political, bush, 5
porch, light, 24
stance, political, 1
line, binary, 1
sheet, cake, 3
sore, loser, 11
